Issue key,Summary,Priority,consequence,rolling upgrade?,"consequence category: 1) whole cluster down, 2) master down, 3) performance degradation, 4) data loss & data corruption, 5) rolling upgrade failure (a cluster with mixed versions fail certain functionality or part of the cluster, but functionality could restore after every node is upgraded), 6) incorrect service result, 7) part of cluster down (clients down, secondary master down), 8) unknown (todo, revisit all system state corruption / unknown)",catastrophic (yes/no)? (We classify a failure to be catastrophic when it prevents all or a majority of the users from their normal access to the system),created after buggy release? (production bug?),"root cause (they can be complicated, we use google doc to explain each case's root cause)","root cause category: 1) data-related bug, including 1.1) data format incompatibility (parsing error), 1.2) data related logic error in full-stop upgrade (not parsing error), 1.3) data related logic error in a mixed cluster (not parsing error, but unexpected interaction between nodes running different versions), 2) data-unrelated bug or logic error in upgrade operation itself, 3) misconfiguration (not failure-inducing configuration change), 4) broken dependency (not upgrading a lib brokes depdency, but upgrading the target system itself breaks dependency)",persistant (P) or runtime (R) data format compatibility?,comments on the consequence & cause of the case,caught in upgrade test case? (yes/no),related to changed constant or on-disk dir structure?,rolling upgrade?,version gap,check upgrade operation caught-after-release,version gap delta,minimum # of nodes / slaves (by guess),buggy version release (earliest release of the affected versions) ,Created,created after buggy release? (production bug?),"does the bug exist on a release version? (x.x.x-alpha, x.x.x-beta, x.x.x-RC1 are not release versions)","how to detect: 1) clear symptom (exception, crash, service stop/irresponsive - all those easy to detect symptoms), 2) data loss/corruption (can be detected by read & compare), 3) gray failure (performance degradation, flaky I/O, some observer considers it failure but others don't - i.e., there's no objective criteria), 4) not clear",comments on detection of this case,detailed reproduction steps (in google docs),is upgrade (or rolling upgrade) + normal read/write/delete enough to trigger the root cause?,"category of reproduction: 1) upgrade (or rolling upgrade), 2) upgrade + any data on old system (data created by trivial write/read in workload generator), 3) special data format (requires special constraint on the operations to generate a corner case data format, e.g., special parameter, a special combination of write/read/delete), 4) special operation (any op other than write/read, not covered by workload generator, including a some operation with a special parameter or config), 5) special configuration (non-default configuration), 6) special timing constraint, 7) not clear how to reproduce","for categories 3 to 6, do unit test or stress test help?","if 1) upgrade and 2) upgrade + any data CANNOT reproduce the failure, can unit tests be combined to reproduce the failure?",comments on reproduction of this case,"how to mitigate? 1) wait for the upgrade to finish on the entire cluster, 2) downgrade, 3) rollback, 4) deploy the fixed new version, 5) manual intervention, 6) perminant damage",comments on mitigation of this case,,is upgrade (or rolling upgrade) + normal read/write/delete enough to trigger the root cause?,is upgrade + stress testing enough to trigger the root cause?,commes on how to trigger,is rolling upgrade + stress testing enough to trigger the root cause?,does it need special operation? (this is same as the left column),what needs to be done to trigger the root cause? (this is split into the rightside 5 columns),does it need read/write/delete with special arguments to trigger the root cause?,does it need special timing constraints to trigger the root cause? ,does it need operations other than read/write/delete and upgrade to trigger the root cause? (write down the number),"if normal read/write/delete is not enough and no timing constraint is required, are the special operations or arguments required covered in existing unit tests?","needs extra stuff to trigger the symptom (even though the root cause is already triggered, e.g., large schema + large cluster to trigger performance slowdowm symptom)?","does it need special config? (including special configuration for entire cluster or multi node,  special configuration for single node)","does a restart or full-stop upgrade mitigate the problem? (e.g., data loss or corruption would need more operations to mitigate than network message unrecognized) (1. restart, 2. patch and restart, 3. manual operations to restore the system state, 4. rollback + abort upgrade)",does downgrade mitigate the problem?,does roll back mitigate the problem?,Can tests be combined to test the special config?,Did the tests exist when the bug was reported?,How many tests need to be combined?
CASSANDRA-8462,Upgrading a 2.0 to 2.1 breaks CFMetaData on 2.0 nodes,Normal,cannot reboot old version nodes during rolling upgrade,yes,7) part of cluster down,no,yes,,1.3) data related logic error in a mixed cluster,R,"interesting, missed because dtest doesn't cover restarting node in a mixed cluster - we would likely miss it too",,changed constant (changed enum),yes,2.0.11->2.1.2,,1 minor,2,2014-11-10,11/Dec/14 18:47,yes,,1) clear symptom,,,no (need to add new node to cluster and then restart old node),"4) special operation (restarting old version node during rolling upgrade, note the restarted node is not restarted with new version)",yes. unit test,,,,,,no (need to add new node to cluster and then restart old node),,,,yes (restart old node + rolling upgrade) yes (add new node and then restart old node),,,no,,,,no,no (patch and restart) yes (full-stop upgrade would mitigate the issue),,,,,
CASSANDRA-6619,Race condition issue during upgrading 1.1 to 1.2,Low,new version node cannot connect to old version nodes during upgrade,yes,5) rolling upgrade failure,yes,yes,,1.3) data related logic error in a mixed cluster,R (involves different version number constant),"interesting, different versions are using different protocols and they still somehow manage to do rolling upgrade, but a data race triggered this failure",,changed constant (changed enum),yes,1.1x->1.2,,1 minor,2,2013-01-02,25/Jan/14 11:20,yes,,"3) gray failure (high read latency, some failed writes, stuck, hang)",,,yes,1) upgrade + 6) special timing (high write/read latency during upgrading,,,,,,,yes,no,race condition,,no,,,"yes, race condition",,,,no,yes,,,,,
YARN-9084,"Service Upgrade: With default readiness check, the status of upgrade is reported to be successful prematurely",Major,upgrade might be shown to be successful incorrectly,no,"8) unknown, system state corruption",no,no,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,N/A,no,N/A,"no (old result correct, compared against the new version release time)",N/A,1,2019-02-05,05/Dec/18 20:41,no,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,not sure,"developer's own report, not clear",,no,normal writes,,no,,,,no,no (patch and restart),,,,,
HDFS-6340,DN can't finalize upgrade,Blocker,data nodes cannot finish upgrade,no,1) whole cluster down,yes,yes,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,N/A,no,2.2.0->2.4.0,,2 minor,1,2014-04-10,04/May/14 16:25,yes,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,no,seems need a large number of blocks,,no,normal writes,,no,,,,no,no (patch and restart),,,,,
HBASE-10581,ACL znode are left without PBed during upgrading hbase0.94* to hbase0.96+,Critical,master chokes,no,2) master down,yes,yes,,1.2) data related logic error in full-stop upgrade,P,,,"no, format change",no,0.94->0.96+,,2 minor,1,2013-10-19,21/Feb/14 1:01,yes,,1) clear symptom,,,yes,1) upgrade,,,,,,,yes,yes,,,no,normal writes,,no,,,,no,no (patch and restart),,,,,
HBASE-2025,0.20.2 accessed from older client throws UndeclaredThrowableException; frustrates rolling upgrade,Blocker,NPE,yes,5) rolling upgrade failure,yes,no,,1.3) data related logic error in a mixed cluster,R (RPC),"interesting, it's a bug in HBase's own implemented RPC lib, it's caused by temporary data over the network",,changed constant,yes,0.20.0->0.20.2,,< 1 minor,2,2010-05-18,02/Dec/09 21:11,no,,1) clear symptom,,,yes,1) upgrade,,,,,,,yes,,simple broken protobuf,yes,no,normal writes,,no,,,,no,yes,,,,,
HDFS-6601,Issues in finalizing rolling upgrade when there is a layout version change,Blocker,"can't finish rolling upgrade, name node terminate",yes,2) master down,yes,no,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,N/A,yes,N/A,"no (old result correct, compared against the new version release time)",N/A,1,2015-11-19,24/Jun/14 20:19,no,,1) clear symptom,,,yes,1) upgrade,,,,,,,yes,,it requires rolling upgrade + layout version change,may be,,N/A,,no,,,,no,no (patch and restart),,,,,
HDFS-1936,Updating the layout version from HDFS-1822 causes upgrade problems.,Blocker,corrupt hdfs,no,1) whole cluster down,yes,no,,1.1) data format incompatibility,P,,,changed constant,no,0.20 -> 0.22 -> 0.23,,1 minor,1,2011-12-11,13/May/11 16:51,no,,1) clear symptom,,,yes,1) upgrade,,,,,,,yes,yes,,,,normal write,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-4195,error in log when upgrading multi-node cluster to 1.1,Normal,old node cannot join the ring,yes,5) rolling upgrade failure,"yes, can't serve read/write in a mixed cluster",yes,,1.1) data format incompatibility,R,"interesting, developer said ""how did we miss this in testing?"", solution is tricky",,"no, format change, schema version number change",yes,1.0.9->1.1.0,,1 minor,2,2012-04-24,30/Apr/12 14:17,yes,,1) clear symptom,,,yes,1) upgrade,,,,,,,yes,,simple UUID parsing error,yes,,nothing,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-11315,Fix upgrading sparse tables that are incorrectly marked as dense,Normal,cassandra cannot start,no,1) whole cluster down,yes,yes,,1.1) data format incompatibility,P,,,no,no,2.2.5->3.0.3 or 2.2.6->3.0.5,,1 major,1,2016-02-09,08/Mar/16 11:46,yes,,1) clear symptom,,,yes,3) special data format (create a table with is_dense flag set to true),yes. unit test has is_dense,,,,,,yes,"not sure, may be no","needs to create ""dense"" table",,,create a dense table,,no,,,,no,no (patch and restart),,,,,
ZOOKEEPER-1805,"""Don't care"" value in ZooKeeper election breaks rolling upgrades",Blocker,stops upgrade,yes,5) rolling upgrade failure,yes,no,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,N/A,yes,N/A,"no (old result correct, compared against the new version release time)",N/A,3,"2014-03-12 (not clearly stated, maybe rolling upgrade from 3.4.5 to trunk at that time)",30/Oct/13 3:18,no,,1) clear symptom,,,no (special timing),6) special timing (but simple rolling upgrade could trigger it from time to time),,,,,,,no (special timing),,,,,normal leader election,,yes,,,,no,no (patch and restart),,,,,
KAFKA-7403,Offset commit failure after upgrading brokers past KIP-211/KAFKA-4682,Blocker,clients with older version fail,yes (client vs server),7) part of cluster down,yes,yes,,1.3) data related logic error in a mixed cluster,R,"interesting, complicated interaction",,"no, format change plus config change",yes (client vs server),0.11->2.0,,2 major,2,2018-07-28,11/Sep/18 23:52,yes,,1) clear symptom,,,yes,"5) special coniguration (inter.broker.protocol.version was set to ""1.0"" prior to the upgrade",,,,,,,yes,"yes, may be",as long as the request is sent by normal operations,,,nothing,,no,,,,no,yes,,,,,
YARN-9056,Yarn Service Upgrade: Instance state changes from UPGRADING to READY without performing a readiness check,Critical,not clear,no,"8) unknown, system state corruption",no,no,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,no,no,N/A,"no (old result correct, compared against the new version release time)",N/A,1,2019-02-05,26/Nov/18 22:33,no,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,yes,but very hard to detect,,,N/A,,no,,,,no,not clear no,,,,,
YARN-8346,"Upgrading to 3.1 kills running containers with error ""Opportunistic container queue is full""",Blocker,all old containers killed,not sure,3) performance degradation,yes,yes,,1.2) data related logic error in full-stop upgrade,P (work preserving NM restart),"interesting, complicated scenario",,"no, new constant with no default value for upgraded containers",not sure,2.8.4->3.1,,1 major,1,2018-04-05,23/May/18 12:30,yes,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,,requires distributed cache to be enabled,not sure,,normal job,,no,,,,no,no (patch and restart),,,,,
MAPREDUCE-5939,StartTime showing up as the epoch time in JHS UI after upgrade,Major,wrong web UI message,"yes, not sure",6) incorrect service result,no,no,,1.1) data format incompatibility,P,,,on-disk dir structure (new job history file includes timestamp),"yes, not sure",0.23.x->2.5,,2 major,1,2015-11-09,23/Jun/14 20:13,no,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,yes,simple data format reverse,,,normal job,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-6732,Cross DC writes not compatible 1.2->1.1 during rolling upgrade,Normal,cross data center writes lost,yes,4) data loss,yes,yes,,1.3) data related logic error in a mixed cluster,R,"interesting, complicated interaction",,changed constant (constant replaced by two new constants),yes,1.1.x->1.2.x,,1 minor,2,2014-02-07,19/Feb/14 13:17,yes,,3) gray failure,,,yes,5) special configuration (multiple data center),yes. unit test covers multiple dc,,,,,,yes,yes,,,,normal job (across data center),,no,,,,yes (multi data center),no (manual operations needed),,,"no (EC2SnitchTest + any workload + upgrade_through_versions_test.py, but not sure how to test packet loss)",N/A,N/A
HDFS-6981,Fix DN upgrade with layout version change,Major,data loss,yes,4) data loss,no,no,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,no,yes,?->2.6.0,,1 minor,1,2014-11-30,01/Sep/14 21:40,no,,2) data loss,,,no,3) special data format (created by a special complicated combination of normal read/write) + 4)special operation (rollback?),"no, don't think this complicated scenario is covered in test",,,,,,no,,,,,a combinartion of special operations,,no,,,,no,no (manual restore lost data),,,,,
KAFKA-6238,Issues with protocol version when applying a rolling upgrade to 1.0.0,Major,service cannot start,yes,1) whole cluster down,yes,yes,,3) misconfiguration,configuration,,,"no, configuration",yes,0.10.0.1 -> 1.0.0,,1 major,1,2017-10-31,20/Nov/17 11:05,yes,,1) clear symptom,,,yes,5) special config (old config from old version),yes. test case,,,,,,yes,"yes, but special config",,,,normal start,,,,,,old config,no (patch and restart),,,yes (upgrade_test.py),yes,1
CASSANDRA-5696,Upgrading to cassandra-1.2 with a dead LEFT state from 1.1 causes problems,Normal,"old nodes fail best case: harmless exceptions, worst case: a node whose token somehow matches a timestamp will need to be restarted and rebootstrapped. some previously working nodes need to be restarted",yes,"8) unknown, system state corruption",no,yes,,1.1) data format incompatibility,R,,,no,yes,1.1->1.2,,1 minor,2,2013-01-02,24/Jun/13 21:34,yes,,1) clear symptom,,,"no (need to have decomissioned nodes first, then perform a rolling upgrade)",1) upgrade (rolling upgrade),,,,,,,"no (need to have decomissioned nodes first, then perform a rolling upgrade)",,,,,no job,,no,1 (decommision a node),,,no,yes,,,,,
CASSANDRA-12423,Cells missing from compact storage table after upgrading from 2.1.9 to 3.7,Normal,data cannot be retrived (not sure if there's data loss),no,4) data loss,no,yes,,1.1) data format incompatibility,P,,,no,no,2.1.9->3.0+,,1 major,1,2015-11-09,10/Aug/16 8:27,yes,,2) data loss,,,no (delete needs to be performed with EOC parameter = 0),3) special data format (created by combination of nomal operations),"no, how to set EOC=0 is hard",,,,,,no (delete needs to be performed with EOC parameter = 0),,,,,create and special delete,,no,,,,no,no (patch and restart),,,,,
HBASE-9973,[ACL]: Users with 'Admin' ACL permission will lose permissions after upgrade to 0.96.x from 0.94.x or 0.92.x,Major,admin users lost permission,no,4) data loss,yes (indirectly influence users),yes,,1.1) data format incompatibility,P,,,no,no,0.94->0.96,,2 minor,1,2013-10-19,14/Nov/13 19:09,yes,,"1) clear symptom (admin loses permission, has to use admin to trigger)","no data loss, but some data was forgot to be migrated",,yes,1) upgrade,,,,,,,yes,"may be, not sure, need to create admin user on hbase",,,,"maybe not, depends on whether hbase admin needs to be created by hand",,no,,,,no,no (manually restore the admin's acl required),,,,,
HDFS-11856,Ability to re-add Upgrading Nodes (remote) to pipeline for future pipeline updates,Major,upgraded nodes will be excluded from some streams,yes,6) incorrect service result,no,yes,,2) data-unrelated bug or logic error in upgrade operation itself,N/A,,,no,yes,N/A,"yes (old result correct, compared against the new version release time)",N/A,2,2016-08-25,19/May/17 12:13,yes,,3) gray failure,,,yes,1) upgrade + 6) special timing,,,,,,,yes,,"rolling upgrade and write needs to happen together, timing",no,,normal write,,no,,,,no,yes (maybe),,,,,
CASSANDRA-13320,upgradesstables fails after upgrading from 2.1.x to 3.0.11,Normal,upgrade sstable op fails,no,1) whole cluster down,yes,yes,,1.1) data format incompatibility,P,,,no,no,2.1.16 -> 3.0.11,,1 major,1,2017-02-21,10/Mar/17 8:08,yes,,1) clear symptom,,,yes,3) special operation (tombstone required),yes. unit test,,,,,,yes,yes,as long as delete is normal op,,,normal writes,,no,,,,no,no (patch and restart),,,,,
HDFS-7575,Upgrade should generate a unique storage ID for each volume,Critical,balancer malfunctions,no / not sure,3) performance degradation,no,yes,,1.3) data related logic error in a mixed cluster,P,"interesting, this is a complicated case",,"no, but it's in VERSION file which contains meta data for HDFS",no / not sure,2.0.0- ->2.3.0,,3 minor,2,2014-02-24,30/Dec/14 12:15,yes,,3) gray failure,,,yes,1) upgrade,,,,,,,yes,yes,very hard to detect though,,,normal writes,,no,,,,no,no (manually change the disk files),,,,,
YARN-6585,RM fails to start when upgrading from 2.7 to 2.8 for clusters with node labels.,Blocker,ResourceManager fails to start,no,2) master down,yes,yes,,1.1) data format incompatibility,P,,,changed constant (changed field name),no,2.7->2.8,,1 minor,1,2017-03-24,11/May/17 18:18,yes,,1) clear symptom,,,yes (need labeled nodes),3) special data format (add node labels) (Can label be generated by normal operation?),yes. unit test covers node label,,,,,,yes (need labeled nodes),not sure,it needs labled nodes; this case developers also mentioned compatibility divergence!,,,normal writes,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-3849,Saved CF row cache breaks when upgrading to 1.1,Normal,upgraded nodes fail to start,not clear / no,1) whole cluster down,yes,no,,1.2) data related logic error in full-stop upgrade,P,"persistent cache data can be parsed, but there's a check that fails if that cache data exists from old version",,no,not clear / no,1.0->1.1,,1 minor,1,2012-04-24,04/Feb/12 2:03,no,,1) clear symptom,,,yes (need to have cached data),"3) special data format (force saving the cache data, which is usually not saved)",yes. unit test covers cache,,,,,,yes (need to have cached data),not sure,needs to enable row and key caching,,,normal writes (but needs to trigger cache save),,no,,,,"yes (not sure these setup are special: key cache and column cache enabled, cache size small so that cache is saved on disk)",no (patch and restart),,,yes (global_row_key_cache_test.py + upgrade_test.py),yes,2
HDFS-3731,2.0 release upgrade must handle blocks being written from 1.0,Blocker,Data loss in the upgraded system,no,4) data loss,yes,yes,,1.1) data format incompatibility,P (forgot about bbw files when upgrade),,,"no (it forgot to load some disk files during upgrade, but those files exist in both versions)",no,"0.21+, 1.x->2.0",,1 major,1,2012-05-23,26/Jul/12 15:24,yes,,2) data loss,,,no (need to have bbw files on disk),3) special data format (BBW blocks created by unfinished writes),"not sure if we could create BBW blocks, crash hdfs before a write finishes? ",,,,,,no (need to have bbw files on disk),,,,,normal writes,,yes (need to stop old cluster while some blocks are not finished writing to create bbw files on disk),,,,no,no (manually restore lost data),,,,,
CASSANDRA-12249,dtest failure in upgrade_tests.paging_test.TestPagingDataNodes3RF3_Upgrade_current_3_0_x_To_indev_3_x.basic_paging_test,Normal,node fails,yes,6) incorrect service result,no (only for paging request),no,,1.3) data related logic error in a mixed cluster,R,this interaction is quite simple. the root cause is an incorrectly handled constant. although it manifested as a parsing error. ,,changed constant,yes,3.08->3.8,,> 3 minor,2,2016-09-29,20/Jul/16 15:47,no,,1) clear symptom,,,yes,4) special operation (paging query),"yes. There are tests related to paging query in the unit test, but it must be executed during the rolling upgrade",,,,,,yes,,,"seems yes, needs to do paging",,normal writes,,no,,,,no,no (patch and restart),,,,,
CASSANDRA-14820,Upgrade to 4.0 fails with NullPointerException,Normal,service down,no,1) whole cluster down,yes,no,,1.1) data format incompatibility,P,,,changed constant (new constant),no,"3.0.x, 3.11.x->4",,1 major,1,not released yet,12/Oct/18 11:07,no,,1) clear symptom,,,yes,1) upgrade,,,,,,,yes,"yes, may be, requires additional write",,,,normal writes,,no,,,,no,no (patch and restart),,,,,
